pricing_mode,subset,breakdown,bucket,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_net_pnl_per_trade,total_net_pnl
candle_proxy,selected_trades,city_key,chicago,62,62,0,0.016129,0.511601,-0.022903,-1.42
candle_proxy,selected_trades,city_key,nyc,68,68,0,0.029412,0.466002,-0.010294,-0.7
candle_proxy,selected_trades,entry_price_bucket,0-25,129,129,0,0.015504,0.4882,-0.022016,-2.84
candle_proxy,selected_trades,entry_price_bucket,25-50,1,1,0,1.0,0.429677,0.72,0.72
candle_proxy,selected_trades,month_bucket,2025-12,48,48,0,0.041667,0.419935,-0.001667,-0.08
candle_proxy,selected_trades,month_bucket,2026-01,82,82,0,0.012195,0.527446,-0.024878,-2.04
candle_proxy,selected_trades,sample_size_bucket,26+,130,130,0,0.023077,0.48775,-0.016308,-2.12
candle_proxy,selected_trades,season_bucket,winter,130,130,0,0.023077,0.48775,-0.016308,-2.12
candle_proxy,selected_trades,spread_bucket,0-2,130,130,0,0.023077,0.48775,-0.016308,-2.12
