pricing_mode,quote_source,uses_true_quotes,rows_available,rows_scored,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_pnl_per_trade,total_gross_pnl,total_net_pnl,brier_score,average_lookback_sample_size,entry_price_bucket_counts,allow_no,min_edge,min_samples,min_price,max_price,contracts,fee_per_contract,rows_with_executable_yes_quote,rows_with_executable_no_quote,rows_with_both_sides_executable_quotes,rows_missing_executable_yes_quote,rows_missing_executable_no_quote,yes_quote_coverage,no_quote_coverage,both_sides_quote_coverage,average_gross_pnl_per_trade,average_net_pnl_per_trade,average_yes_spread,average_no_spread,spread_bucket_counts,max_spread
decision_price,decision_price_close,False,540,540,85,85,0,0.929412,0.923824,0.853235,72.525,72.525,0.024074,1.0,"{""0-25"": 78, ""25-50"": 3, ""50-75"": 2, ""75-100"": 2}",False,0.0,1,0.0,100.0,1,0.0,,,,,,,,,,,,,,
candle_proxy,decision_candle_ohlc_bounds,False,540,540,85,85,0,0.929412,0.920824,,72.27,72.27,0.024074,1.0,"{""0-25"": 77, ""25-50"": 4, ""50-75"": 2, ""75-100"": 2}",False,0.0,1,0.0,100.0,1,0.0,540.0,540.0,540.0,0.0,0.0,1.0,1.0,1.0,0.850235,0.850235,2.125926,2.125926,"{""0-2"": 75, ""10+"": 0, ""2-5"": 9, ""5-10"": 1}",
