fold_number,pricing_mode,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_min_edge,selected_min_samples,selected_min_price,selected_max_price,selected_allow_no,selected_max_spread,validation_trades,validation_total_net_pnl,validation_average_net_pnl_per_trade,test_rows_evaluated,test_trades,test_yes_trades,test_no_trades,test_hit_rate,test_average_edge_at_entry,test_total_gross_pnl,test_total_net_pnl,test_brier_score,skip_reason
1,candle_proxy,2025-11-01,2025-11-30,2025-12-01,2025-12-15,2025-12-16,2025-12-30,0.05,1,0.0,100.0,False,2.0,12,9.67,0.805833,90,13,13,0,0.769231,0.775558,9.19,9.05,0.035981,
2,candle_proxy,2025-11-01,2025-12-15,2025-12-16,2025-12-30,2025-12-31,2026-01-14,0.05,1,0.0,100.0,False,2.0,13,9.05,0.696154,90,12,12,0,0.833333,0.739202,9.83,9.71,0.029525,
3,candle_proxy,2025-11-01,2025-12-30,2025-12-31,2026-01-14,2026-01-15,2026-01-29,0.05,1,0.0,100.0,False,2.0,12,9.71,0.809167,90,17,17,0,0.764706,0.677889,12.41,12.23,0.031776,
