city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
nyc,KXHIGHNY-25DEC17-T43,2025-12-17,2025-12-17 15:00:00+00:00,2.0,True,1.0,0.0,1.0,0.0,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.97,,0.97,0.98,1,0.01,0.98,0.97,31,baseline_climatology_v1,1,42° or below,less,,43.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC18-T50,2025-12-18,2025-12-18 15:00:00+00:00,20.0,True,1.0,0.0,1.0,0.0,21.0,22.0,78.0,79.0,yes,22.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.76,,0.76,0.78,1,0.02,0.78,0.76,31,baseline_climatology_v1,1,49° or below,less,,50.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC19-T54,2025-12-19,2025-12-19 15:00:00+00:00,1.0,True,1.0,0.0,1.0,0.0,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.98,,0.98,0.99,1,0.01,0.99,0.98,31,baseline_climatology_v1,1,53° or below,less,,54.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC20-T36,2025-12-20,2025-12-20 15:00:00+00:00,2.0,True,1.0,0.0,1.0,0.0,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.97,,0.97,0.98,1,0.01,0.98,0.97,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC21-T40,2025-12-21,2025-12-21 15:00:00+00:00,1.0,True,1.0,0.0,1.0,0.0,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.98,,0.98,0.99,1,0.01,0.99,0.98,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC22-T36,2025-12-22,2025-12-22 15:00:00+00:00,1.0,True,1.0,0.0,1.0,0.0,0.0,2.0,98.0,100.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.97,,0.97,0.98,1,0.01,0.98,0.97,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC23-T38,2025-12-23,2025-12-23 15:00:00+00:00,1.0,True,1.0,0.0,1.0,0.0,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.98,,0.98,0.99,1,0.01,0.99,0.98,31,baseline_climatology_v1,1,37° or below,less,,38.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC24-T40,2025-12-24,2025-12-24 15:00:00+00:00,1.0,True,1.0,0.0,1.0,0.0,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.98,,0.98,0.99,1,0.01,0.99,0.98,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC25-T41,2025-12-25,2025-12-25 15:00:00+00:00,0.5,True,1.0,0.0,1.0,0.0,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.98,,0.98,0.99,1,0.01,0.99,0.98,31,baseline_climatology_v1,1,40° or below,less,,41.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC26-B33.5,2025-12-26,2025-12-26 15:00:00+00:00,16.0,False,0.419355,0.580645,0.419355,0.580645,15.0,17.0,83.0,85.0,yes,17.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.239355,,0.239355,0.249355,1,0.01,-0.17,-0.18,31,baseline_climatology_v1,1,33° to 34°,between,33.0,34.0,between,0-25,False
