city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-25DEC27-T45,2025-12-27,2025-12-27 15:00:00+00:00,6.0,True,0.580645,0.419355,0.580645,0.419355,6.0,7.0,93.0,94.0,yes,7.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.510645,,0.510645,0.510645,1,0.0,0.93,0.93,31,baseline_climatology_v1,1,44° or below,less,,45.0,or_below,0-25,True
chicago,KXHIGHCHI-25DEC27-T52,2025-12-27,2025-12-27 15:00:00+00:00,3.0,False,0.193548,0.806452,0.193548,0.806452,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.173548,,0.173548,0.173548,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,53° or above,greater,52.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC27-T29,2025-12-27,2025-12-27 14:00:00+00:00,1.0,False,0.129032,0.870968,0.129032,0.870968,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.119032,,0.119032,0.119032,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,28° or below,less,,29.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC27-T36,2025-12-27,2025-12-27 14:00:00+00:00,1.0,False,0.741935,0.258065,0.741935,0.258065,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.731935,,0.731935,0.731935,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,37° or above,greater,36.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC28-T57,2025-12-28,2025-12-28 15:00:00+00:00,53.0,False,0.935484,0.064516,0.935484,0.064516,42.0,48.0,52.0,58.0,yes,48.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,6.0,0.455484,,0.455484,0.455484,1,0.0,-0.48,-0.48,31,baseline_climatology_v1,1,56° or below,less,,57.0,or_below,25-50,False
nyc,KXHIGHNY-25DEC28-T37,2025-12-28,2025-12-28 14:00:00+00:00,11.0,False,0.16129,0.83871,0.16129,0.83871,10.0,11.0,89.0,90.0,yes,11.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.05129,,0.05129,0.05129,1,0.0,-0.11,-0.11,31,baseline_climatology_v1,1,36° or below,less,,37.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC28-T44,2025-12-28,2025-12-28 14:00:00+00:00,1.0,False,0.709677,0.290323,0.709677,0.290323,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.699677,,0.699677,0.699677,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,45° or above,greater,44.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC29-T31,2025-12-29,2025-12-29 15:00:00+00:00,0.5,False,0.903226,0.096774,0.903226,0.096774,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.893226,,0.893226,0.893226,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,32° or above,greater,31.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC29-T46,2025-12-29,2025-12-29 14:00:00+00:00,4.0,False,0.387097,0.612903,0.387097,0.612903,2.0,7.0,93.0,98.0,yes,7.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,5.0,0.317097,,0.317097,0.317097,1,0.0,-0.07,-0.07,31,baseline_climatology_v1,1,45° or below,less,,46.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC29-T53,2025-12-29,2025-12-29 14:00:00+00:00,1.0,False,0.258065,0.741935,0.258065,0.741935,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.248065,,0.248065,0.248065,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,54° or above,greater,53.0,,or_above,0-25,False
