city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
nyc,KXHIGHNY-25DEC20-T43,2025-12-20,2025-12-20 15:00:00+00:00,1.0,False,0.354839,0.645161,0.354839,0.645161,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.334839,,0.334839,0.344839,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,44° or above,greater,43.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC21-T34,2025-12-21,2025-12-21 16:00:00+00:00,2.0,False,0.774194,0.225806,0.774194,0.225806,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.734194,,0.734194,0.744194,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,35° or above,greater,34.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC21-T40,2025-12-21,2025-12-21 15:00:00+00:00,1.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.431613,,0.431613,0.441613,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC21-T47,2025-12-21,2025-12-21 15:00:00+00:00,15.0,False,0.225806,0.774194,0.225806,0.774194,14.0,15.0,85.0,86.0,yes,15.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.065806,,0.065806,0.075806,1,0.01,-0.15,-0.16,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC22-T40,2025-12-22,2025-12-22 16:00:00+00:00,1.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.431613,,0.431613,0.441613,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC22-T47,2025-12-22,2025-12-22 16:00:00+00:00,5.0,False,0.258065,0.741935,0.258065,0.741935,5.0,6.0,94.0,95.0,yes,6.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.188065,,0.188065,0.198065,1,0.01,-0.06,-0.07,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC22-T36,2025-12-22,2025-12-22 15:00:00+00:00,1.0,False,0.16129,0.83871,0.16129,0.83871,0.0,2.0,98.0,100.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.13129,,0.13129,0.14129,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC22-T43,2025-12-22,2025-12-22 15:00:00+00:00,1.0,False,0.612903,0.387097,0.612903,0.387097,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.592903,,0.592903,0.602903,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,44° or above,greater,43.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC23-T45,2025-12-23,2025-12-23 16:00:00+00:00,1.0,False,0.677419,0.322581,0.677419,0.322581,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.657419,,0.657419,0.667419,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,44° or below,less,,45.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC23-T38,2025-12-23,2025-12-23 15:00:00+00:00,1.0,False,0.16129,0.83871,0.16129,0.83871,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.14129,,0.14129,0.15129,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,37° or below,less,,38.0,or_below,0-25,False
