pricing_mode,subset,breakdown,bucket,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_net_pnl_per_trade,total_net_pnl
candle_proxy,selected_trades,city_key,chicago,73,73,0,0.027397,0.47023,-0.007671,-0.56
candle_proxy,selected_trades,city_key,nyc,84,84,0,0.02381,0.421805,0.000833,0.07
candle_proxy,selected_trades,entry_price_bucket,0-25,155,155,0,0.025806,0.444201,0.002903,0.45
candle_proxy,selected_trades,entry_price_bucket,25-50,1,1,0,0.0,0.651765,-0.26,-0.26
candle_proxy,selected_trades,entry_price_bucket,50-75,1,1,0,0.0,0.255484,-0.68,-0.68
candle_proxy,selected_trades,month_bucket,2025-12,65,65,0,0.046154,0.355053,0.01,0.65
candle_proxy,selected_trades,month_bucket,2026-01,92,92,0,0.01087,0.507391,-0.012391,-1.14
candle_proxy,selected_trades,sample_size_bucket,26+,157,157,0,0.025478,0.444321,-0.003121,-0.49
candle_proxy,selected_trades,season_bucket,winter,157,157,0,0.025478,0.444321,-0.003121,-0.49
candle_proxy,selected_trades,spread_bucket,0-2,147,147,0,0.020408,0.446275,-0.00034,-0.05
candle_proxy,selected_trades,spread_bucket,2-5,9,9,0,0.111111,0.43339,0.026667,0.24
candle_proxy,selected_trades,spread_bucket,5-10,1,1,0,0.0,0.255484,-0.68,-0.68
