decision_time_local,scenario_code,city_scope,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold_count,fold_count,all_folds_positive
11:00,B,nyc,32,1.13,0.0625,1.71875,1.03125,0.385723,2,3,False
11:00,B,chicago,28,0.81,0.071429,3.214286,1.464286,0.490459,1,3,False
11:00,C,pooled,60,1.94,0.066667,2.416667,1.233333,0.4346,2,3,False
11:00,C,nyc,32,1.13,0.0625,1.71875,1.03125,0.385723,2,3,False
11:00,C,chicago,28,0.81,0.071429,3.214286,1.464286,0.490459,1,3,False
11:00,D,pooled,55,1.49,0.054545,1.745455,1.036364,0.421421,2,3,False
11:00,D,nyc,32,1.13,0.0625,1.71875,1.03125,0.385723,2,3,False
11:00,D,chicago,23,0.36,0.043478,1.782609,1.043478,0.471089,1,3,False
12:00,A,pooled,62,2.53,0.064516,2.370968,1.080645,0.433555,2,3,False
12:00,A,nyc,32,1.24,0.0625,2.375,1.03125,0.38916,2,3,False
12:00,A,chicago,30,1.29,0.066667,2.366667,1.133333,0.480909,1,3,False
12:00,B,pooled,62,1.9,0.064516,2.370968,1.080645,0.423393,2,3,False
12:00,B,nyc,32,0.91,0.0625,2.375,1.03125,0.378848,2,3,False
12:00,B,chicago,30,0.99,0.066667,2.366667,1.133333,0.470909,1,3,False
12:00,C,pooled,62,1.9,0.064516,2.370968,1.080645,0.423393,2,3,False
12:00,C,nyc,32,0.91,0.0625,2.375,1.03125,0.378848,2,3,False
12:00,C,chicago,30,0.99,0.066667,2.366667,1.133333,0.470909,1,3,False
12:00,D,pooled,61,1.03,0.04918,2.213115,1.04918,0.422947,2,3,False
12:00,D,nyc,32,0.91,0.0625,2.375,1.03125,0.378848,2,3,False
12:00,D,chicago,29,0.12,0.034483,2.034483,1.068966,0.471608,1,3,False
13:00,A,pooled,61,2.74,0.065574,2.065574,1.016393,0.44073,2,3,False
13:00,A,nyc,31,1.4,0.064516,1.935484,1.0,0.399285,2,3,False
13:00,A,chicago,30,1.34,0.066667,2.2,1.033333,0.483556,1,3,False
13:00,B,pooled,61,2.12,0.065574,2.065574,1.016393,0.430566,2,3,False
13:00,B,nyc,31,1.08,0.064516,1.935484,1.0,0.388962,2,3,False
13:00,B,chicago,30,1.04,0.066667,2.2,1.033333,0.473556,1,3,False
13:00,C,pooled,61,2.12,0.065574,2.065574,1.016393,0.430566,2,3,False
13:00,C,nyc,31,1.08,0.064516,1.935484,1.0,0.388962,2,3,False
13:00,C,chicago,30,1.04,0.066667,2.2,1.033333,0.473556,1,3,False
13:00,D,pooled,61,2.12,0.065574,2.065574,1.016393,0.430566,2,3,False
13:00,D,nyc,31,1.08,0.064516,1.935484,1.0,0.388962,2,3,False
13:00,D,chicago,30,1.04,0.066667,2.2,1.033333,0.473556,1,3,False
14:00,A,pooled,62,3.0,0.064516,1.612903,1.048387,0.439712,2,3,False
14:00,A,nyc,31,1.46,0.064516,1.741935,1.096774,0.40122,2,3,False
14:00,A,chicago,31,1.54,0.064516,1.483871,1.0,0.478204,1,3,False
14:00,B,pooled,62,2.38,0.064516,1.612903,1.048387,0.429712,2,3,False
14:00,B,nyc,31,1.15,0.064516,1.741935,1.096774,0.39122,2,3,False
14:00,B,chicago,31,1.23,0.064516,1.483871,1.0,0.468204,1,3,False
14:00,C,pooled,62,2.38,0.064516,1.612903,1.048387,0.429712,2,3,False
14:00,C,nyc,31,1.15,0.064516,1.741935,1.096774,0.39122,2,3,False
14:00,C,chicago,31,1.23,0.064516,1.483871,1.0,0.468204,1,3,False
14:00,D,pooled,61,2.48,0.065574,1.491803,1.016393,0.43261,2,3,False
14:00,D,nyc,30,1.25,0.066667,1.5,1.033333,0.39583,2,3,False
14:00,D,chicago,31,1.23,0.064516,1.483871,1.0,0.468204,1,3,False
