decision_time_local,scenario_code,city_scope,fold_number,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold
11:00,B,pooled,2,26,0.24,0.038462,1.923077,1.384615,0.530261,True
11:00,B,pooled,3,12,-0.4,0.0,2.333333,1.083333,0.292647,False
11:00,B,nyc,1,12,0.62,0.083333,2.166667,1.0,0.328548,True
11:00,B,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
11:00,B,nyc,3,7,-0.23,0.0,2.285714,1.142857,0.336891,False
11:00,B,chicago,1,10,1.48,0.2,4.1,1.3,0.483484,True
11:00,B,chicago,2,13,-0.5,0.0,2.846154,1.769231,0.59573,False
11:00,B,chicago,3,5,-0.17,0.0,2.4,1.0,0.230706,False
11:00,C,pooled,1,22,2.1,0.136364,3.045455,1.136364,0.398974,True
11:00,C,pooled,2,26,0.24,0.038462,1.923077,1.384615,0.530261,True
11:00,C,pooled,3,12,-0.4,0.0,2.333333,1.083333,0.292647,False
11:00,C,nyc,1,12,0.62,0.083333,2.166667,1.0,0.328548,True
11:00,C,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
11:00,C,nyc,3,7,-0.23,0.0,2.285714,1.142857,0.336891,False
11:00,C,chicago,1,10,1.48,0.2,4.1,1.3,0.483484,True
11:00,C,chicago,2,13,-0.5,0.0,2.846154,1.769231,0.59573,False
11:00,C,chicago,3,5,-0.17,0.0,2.4,1.0,0.230706,False
11:00,D,pooled,1,21,1.34,0.095238,2.142857,1.047619,0.394071,True
11:00,D,pooled,2,22,0.55,0.045455,1.045455,1.0,0.517769,True
11:00,D,pooled,3,12,-0.4,0.0,2.333333,1.083333,0.292647,False
11:00,D,nyc,1,12,0.62,0.083333,2.166667,1.0,0.328548,True
11:00,D,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
11:00,D,nyc,3,7,-0.23,0.0,2.285714,1.142857,0.336891,False
11:00,D,chicago,1,9,0.72,0.111111,2.111111,1.111111,0.481434,True
11:00,D,chicago,2,9,-0.19,0.0,1.111111,1.0,0.594289,False
11:00,D,chicago,3,5,-0.17,0.0,2.4,1.0,0.230706,False
12:00,A,pooled,1,23,2.33,0.130435,2.913043,1.130435,0.395834,True
12:00,A,pooled,2,27,0.45,0.037037,2.037037,1.074074,0.522757,True
12:00,A,pooled,3,12,-0.25,0.0,2.083333,1.0,0.305147,False
