pricing_mode,quote_source,uses_true_quotes,rows_available,rows_scored,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_pnl_per_trade,total_gross_pnl,total_net_pnl,brier_score,average_lookback_sample_size,entry_price_bucket_counts,allow_no,min_edge,min_samples,min_price,max_price,contracts,fee_per_contract,rows_with_executable_yes_quote,rows_with_executable_no_quote,rows_with_both_sides_executable_quotes,rows_missing_executable_yes_quote,rows_missing_executable_no_quote,yes_quote_coverage,no_quote_coverage,both_sides_quote_coverage,average_gross_pnl_per_trade,average_net_pnl_per_trade,average_yes_spread,average_no_spread,spread_bucket_counts,max_spread
decision_price,decision_price_close,False,546,546,108,108,0,0.731481,0.693354,0.679537,73.39,73.39,0.020488,31.989,"{""0-25"": 102, ""25-50"": 6, ""50-75"": 0, ""75-100"": 0}",False,0.0,1,0.0,100.0,1,0.0,,,,,,,,,,,,,,
candle_proxy,decision_candle_ohlc_bounds,False,546,546,107,107,0,0.738318,0.696288,,73.04,73.04,0.020488,31.989,"{""0-25"": 100, ""25-50"": 7, ""50-75"": 0, ""75-100"": 0}",False,0.0,1,0.0,100.0,1,0.0,546.0,546.0,546.0,0.0,0.0,1.0,1.0,1.0,0.682617,0.682617,2.128205,2.128205,"{""0-2"": 94, ""10+"": 0, ""2-5"": 11, ""5-10"": 2}",
