pricing_mode,subset,breakdown,bucket,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_net_pnl_per_trade,total_net_pnl
candle_proxy,selected_trades,city_key,chicago,60,60,0,0.033333,0.513406,-0.018833,-1.13
candle_proxy,selected_trades,city_key,nyc,58,58,0,0.034483,0.423831,-0.007414,-0.43
candle_proxy,selected_trades,entry_price_bucket,0-25,117,117,0,0.034188,0.469582,-0.009145,-1.07
candle_proxy,selected_trades,entry_price_bucket,25-50,1,1,0,0.0,0.445484,-0.49,-0.49
candle_proxy,selected_trades,month_bucket,2025-12,50,50,0,0.06,0.416931,-0.002,-0.1
candle_proxy,selected_trades,month_bucket,2026-01,68,68,0,0.014706,0.507941,-0.021471,-1.46
candle_proxy,selected_trades,sample_size_bucket,26+,118,118,0,0.033898,0.469378,-0.01322,-1.56
candle_proxy,selected_trades,season_bucket,winter,118,118,0,0.033898,0.469378,-0.01322,-1.56
candle_proxy,selected_trades,spread_bucket,0-2,118,118,0,0.033898,0.469378,-0.01322,-1.56
