fold_number,pricing_mode,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_min_edge,selected_min_samples,selected_min_price,selected_max_price,selected_allow_no,selected_max_spread,validation_trades,validation_total_net_pnl,validation_average_net_pnl_per_trade,test_rows_evaluated,test_trades,test_yes_trades,test_no_trades,test_hit_rate,test_average_edge_at_entry,test_total_gross_pnl,test_total_net_pnl,test_brier_score,skip_reason
1,decision_price,2025-11-01,2025-11-30,2025-12-01,2025-12-15,2025-12-16,2025-12-30,0.05,1,0.0,100.0,False,,49,-1.02,-0.020816,180,53,53,0,0.056604,0.399757,0.8,0.8,0.158036,
2,decision_price,2025-11-01,2025-12-15,2025-12-16,2025-12-30,2025-12-31,2026-01-14,0.05,1,0.0,100.0,False,,53,0.8,0.015094,180,52,52,0,0.019231,0.461649,-0.18,-0.18,0.182701,
3,decision_price,2025-11-01,2025-12-30,2025-12-31,2026-01-14,2026-01-15,2026-01-29,0.05,1,0.0,100.0,False,,52,-0.18,-0.003462,180,45,45,0,0.022222,0.533013,-0.485,-0.485,0.194699,
1,candle_proxy,2025-11-01,2025-11-30,2025-12-01,2025-12-15,2025-12-16,2025-12-30,0.05,1,0.0,100.0,False,5.0,46,-1.15,-0.025,180,50,50,0,0.06,0.417026,0.69,0.69,0.158036,
2,candle_proxy,2025-11-01,2025-12-15,2025-12-16,2025-12-30,2025-12-31,2026-01-14,0.05,1,0.0,100.0,False,,50,0.69,0.0138,180,49,49,0,0.020408,0.482483,-0.25,-0.25,0.182701,
3,candle_proxy,2025-11-01,2025-12-30,2025-12-31,2026-01-14,2026-01-15,2026-01-29,0.05,1,0.0,100.0,False,5.0,48,-0.15,-0.003125,180,45,45,0,0.022222,0.529124,-0.66,-0.66,0.194699,
