pricing_mode,quote_source,uses_true_quotes,rows_available,rows_scored,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_pnl_per_trade,total_gross_pnl,total_net_pnl,brier_score,average_lookback_sample_size,entry_price_bucket_counts,allow_no,min_edge,min_samples,min_price,max_price,contracts,fee_per_contract,rows_with_executable_yes_quote,rows_with_executable_no_quote,rows_with_both_sides_executable_quotes,rows_missing_executable_yes_quote,rows_missing_executable_no_quote,yes_quote_coverage,no_quote_coverage,both_sides_quote_coverage,average_gross_edge_at_entry,average_gross_pnl_per_trade,average_net_pnl_per_trade,average_fee_per_trade,total_fees,average_yes_spread,average_no_spread,spread_bucket_counts,fee_model,max_spread
decision_price,decision_price_close,False,1092,1092,434,434,0,0.023041,0.32579,-0.001901,-0.825,-0.825,0.170421,31.989,"{""0-25"": 431, ""25-50"": 1, ""50-75"": 2, ""75-100"": 0}",False,0.0,1,0.0,100.0,1,0.0,,,,,,,,,,,,,,,,,,
candle_proxy,decision_candle_ohlc_bounds,False,1092,1092,426,426,0,0.023474,0.327316,,-2.25,-2.25,0.170421,31.989,"{""0-25"": 423, ""25-50"": 1, ""50-75"": 2, ""75-100"": 0}",False,0.0,1,0.0,100.0,1,0.0,1092.0,1092.0,1092.0,0.0,0.0,1.0,1.0,1.0,0.327316,-0.005282,-0.005282,0.0,0.0,2.184066,2.184066,"{""0-2"": 388, ""10+"": 0, ""2-5"": 31, ""5-10"": 7}",flat_per_contract,
