city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-25DEC16-T35,2025-12-16,2025-12-16 14:00:00+00:00,7.0,False,0.354839,0.645161,0.354839,0.645161,6.0,7.0,93.0,94.0,yes,7.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.274839,,0.274839,0.284839,1,0.01,-0.07,-0.08,31,baseline_climatology_v1,1,34° or below,less,,35.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC16-T42,2025-12-16,2025-12-16 14:00:00+00:00,1.0,False,0.483871,0.516129,0.483871,0.516129,0.0,2.0,98.0,100.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.453871,,0.453871,0.463871,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,43° or above,greater,42.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC16-T35,2025-12-16,2025-12-16 13:00:00+00:00,1.0,False,0.806452,0.193548,0.806452,0.193548,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.766452,,0.766452,0.776452,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,36° or above,greater,35.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC17-T34,2025-12-17,2025-12-17 14:00:00+00:00,0.5,False,0.354839,0.645161,0.354839,0.645161,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.334839,,0.334839,0.344839,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,33° or below,less,,34.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T43,2025-12-17,2025-12-17 13:00:00+00:00,15.0,False,0.419355,0.580645,0.419355,0.580645,15.0,16.0,84.0,85.0,yes,16.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.249355,,0.249355,0.259355,1,0.01,-0.16,-0.17,31,baseline_climatology_v1,1,42° or below,less,,43.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T50,2025-12-17,2025-12-17 13:00:00+00:00,9.0,False,0.387097,0.612903,0.387097,0.612903,9.0,14.0,86.0,91.0,yes,14.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,5.0,0.237097,,0.237097,0.247097,1,0.01,-0.14,-0.15,31,baseline_climatology_v1,1,51° or above,greater,50.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC18-T48,2025-12-18,2025-12-18 14:00:00+00:00,2.0,False,0.870968,0.129032,0.870968,0.129032,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.840968,,0.840968,0.850968,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,47° or below,less,,48.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC18-T50,2025-12-18,2025-12-18 13:00:00+00:00,25.0,True,0.709677,0.290323,0.709677,0.290323,19.0,21.0,79.0,81.0,yes,21.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.479677,,0.479677,0.499677,1,0.02,0.79,0.77,31,baseline_climatology_v1,1,49° or below,less,,50.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC18-T57,2025-12-18,2025-12-18 13:00:00+00:00,1.0,False,0.225806,0.774194,0.225806,0.774194,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.195806,,0.195806,0.205806,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,58° or above,greater,57.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC19-T31,2025-12-19,2025-12-19 14:00:00+00:00,1.0,False,0.806452,0.193548,0.806452,0.193548,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.776452,,0.776452,0.786452,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,32° or above,greater,31.0,,or_above,0-25,False
