pricing_mode,subset,breakdown,bucket,trades_taken,yes_trades_taken,no_trades_taken,hit_rate,average_edge_at_entry,average_net_pnl_per_trade,total_net_pnl
candle_proxy,selected_trades,city_key,chicago,65,65,0,0.046154,0.498483,-0.010462,-0.68
candle_proxy,selected_trades,city_key,nyc,72,72,0,0.027778,0.449655,-0.026667,-1.92
candle_proxy,selected_trades,entry_price_bucket,0-25,136,136,0,0.036765,0.473023,-0.015515,-2.11
candle_proxy,selected_trades,entry_price_bucket,25-50,1,1,0,0.0,0.445484,-0.49,-0.49
candle_proxy,selected_trades,month_bucket,2025-12,52,52,0,0.057692,0.406677,-0.007308,-0.38
candle_proxy,selected_trades,month_bucket,2026-01,85,85,0,0.023529,0.513287,-0.026118,-2.22
candle_proxy,selected_trades,sample_size_bucket,26+,137,137,0,0.036496,0.472822,-0.018978,-2.6
candle_proxy,selected_trades,season_bucket,winter,137,137,0,0.036496,0.472822,-0.018978,-2.6
candle_proxy,selected_trades,spread_bucket,0-2,118,118,0,0.033898,0.469378,-0.01322,-1.56
candle_proxy,selected_trades,spread_bucket,2-5,17,17,0,0.058824,0.458758,-0.051176,-0.87
candle_proxy,selected_trades,spread_bucket,5-10,2,2,0,0.0,0.79557,-0.085,-0.17
